 WARNING:

AD_TERM SHORTAGES and/or RELAXATIONS larger than 0.01 OCCUR!

YYYY	MM	Kswck	RedBlf	Wilkns	SacFea	SacAme	YoloBP	Therm	YubFea	Nimbus	Hst	ANN_RL	MRDO_RL	PosSum	NegSum	
1926	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.95	62.85	0.0	0.0	70.8	0.0	
1928	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.78	67.3	0.0	0.0	75.09	0.0	
1929	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.77	0.0	0.0	0.0	7.77	0.0	
1930	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.71	0.0	0.0	0.0	7.71	0.0	
1931	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	
1933	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	22.19	0.0	0.0	30.4	0.0	
1934	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	53.5	0.0	0.0	61.35	0.0	
1934	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.04	0.0	0.0	60.04	0.0	
1939	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.86	55.04	0.0	0.0	62.89	0.0	
1939	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.42	0.0	0.0	22.42	0.0	
1944	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73	0.0	0.0	0.0	7.73	0.0	
1947	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.75	58.4	0.0	0.0	66.15	0.0	
1949	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81	0.0	0.0	0.0	7.81	0.0	
1954	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.07	59.16	0.0	0.0	67.23	0.0	
1955	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7	0.0	0.0	0.0	7.7	0.0	
1959	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.14	52.63	0.0	0.0	60.77	0.0	
1959	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.53	0.0	0.0	86.53	0.0	
1960	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91	0.0	0.0	0.0	7.91	0.0	
1961	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.94	51.36	0.0	0.0	59.3	0.0	
1961	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.05	51.39	0.0	0.0	58.45	0.0	
1964	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.67	0.0	0.0	0.0	7.67	0.0	
1968	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	58.22	0.0	0.0	66.07	0.0	
1972	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84	0.0	0.0	0.0	7.84	0.0	
1977	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.66	0.0	
1977	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	47.37	0.0	0.0	52.75	0.0	
1977	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7	45.81	0.0	0.0	51.51	0.0	
1977	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.84	0.0	0.0	45.84	0.0	
1981	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.86	50.98	0.0	0.0	58.84	0.0	
1985	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.04	72.2	0.0	0.0	80.24	0.0	
1987	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.31	0.0	0.0	0.0	7.31	0.0	
1987	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52	56.64	0.0	0.0	64.16	0.0	
1987	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.03	0.0	0.0	55.03	0.0	
1988	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.23	53.35	0.0	0.0	61.58	0.0	
1988	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07	50.09	0.0	0.0	57.16	0.0	
1989	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84	67.76	0.0	0.0	75.6	0.0	
1990	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.03	52.2	0.0	0.0	60.23	0.0	
1992	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46	54.79	0.0	0.0	60.25	0.0	
1992	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.87	63.99	0.0	0.0	71.86	0.0	
1992	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.43	59.15	0.0	0.0	66.58	0.0	
1993	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.54	0.0	0.0	55.54	0.0	
1993	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.0	0.0	0.0	2.88	0.0	
2001	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83	13.17	0.0	0.0	21.0	0.0	
